sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
16/06/2017,17/06/2017,Chile,CHL,"Coquimbo, Los Lagos, Bio Bio (Curanilahue), Maule, Metropolitan (Santiago), Araucania, O'Higgins, Los Rios, Valparaiso",,,,Km2,Flood,"Riverine flood","Slide (land, mud, snow, rock)",--,4,3024,0,0,,2017-0185
11/05/2017,15/05/2017,Chile,CHL,"Atacama (Chañaral, Diego de Almagro, Freirina-Huasco), Coquimbo (Monte Patria Ovalle- Limari,Andacollo-Elqui)",-27.122,-69.952,157698.57,Km2,Flood,"Flash flood",--,--,2,3000,0,0,,2017-0218
17/12/2017,18/12/2017,Chile,CHL,"Villa Santa Lucia (Los Lagos region), Hualaihué ",,,,,Landslide,Landslide,Flood,--,22,142,0,0,,2017-0529
20/01/2016,26/01/2016,China,CHN,"Yakeshi city (Hulunbuir district, Nei Mongol Zizhiqu province), Harbin district (Heilongjiang Sheng province), Mohe area (Daxing'anling district, Heilongjiang province), Changsha district (Hunan Sheng province), Changchun district (Jilin Sheng province), Zhejiang Sheng, Beijing Shi, Hainan Sheng, Shanghai Shi provinces",,,-41,°C,"Extreme temperature ","Cold wave",--,--,5,0,1600000,0,,2016-0023
26/01/2016,29/01/2016,China,CHN,"Guangdong Sheng, Fujian Sheng, Guangxi Zhuangzu Zizhiqu provinces",,,,Km2,Flood,"Riverine flood",--,--,11,3000,20000,0,,2016-0038
19/03/2016,22/03/2016,China,CHN,"Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng provinces",247.041,113.99,383223.81,Km2,Flood,"Flash flood","Slide (land, mud, snow, rock)",Hail,5,219300,170000,0,,2016-0095
20/04/2016,28/04/2016,China,CHN,"Anhui, Hubei, Fujian, Zhejiang, Jiangxi, Hunan, Guangxi, Yunnan, Guangdong, Guizhou",,,,Km2,Flood,"Riverine flood","Slide (land, mud, snow, rock)",Storm,20,48000,97000,0,,2016-0137
24/04/2016,27/04/2016,China,CHN,"Hubei Sheng, Henan Sheng, Shaanxi Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Shandong Sheng provinces",,,,Kph,Storm,"Convective storm",Hail,--,0,6049,202000,0,,2016-0140
04/05/2016,11/05/2016,China,CHN,"Sanming district (Fujian Sheng province), Guangxi Zhuangzu Zizhiqu, Guangdong Sheng, Zhejiang, Jiangxi, Hubei, Hunan, Chongqing, Sichuan, Guizhou, Yunnan provinces",,,,,Landslide,Mudslide,Flood,--,66,237600,700000,0,,2016-0162
18/05/2016,21/05/2016,China,CHN,"Sichuan Sheng, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Jiangxi Sheng, Guangdong Sheng, Fujian Sheng provinces",,,,Km2,Flood,"Riverine flood",--,--,12,44100,447000,0,,2016-0194
